,Date,Close,Volume,Open,High,Low,MACD,RSI,ROC,CCI,MassIndex,%K,%D,5 day,10 day,20 day
773,2011/10/07,4.73,22122700.0,4.94,4.99,4.69,-0.5110279326810963,6.616752690720844,-22.71241830065359,-87.20093112016049,25.14254971070533,15.671641791044802,17.157723703525303,4.01691331923889,-0.21141649048627217,19.87315010570823
774,2011/10/10,4.84,14707800.0,4.85,4.97,4.75,-0.5136403837343639,6.8599416832494455,-21.55591572123177,-75.50321430337988,25.232459647508733,20.866141732283474,18.539685202710896,-3.5123966942148748,4.5454545454545405,17.355371900826444
775,2011/10/11,4.86,15419660.0,4.86,4.93,4.78,-0.5082382826081844,6.526297951985072,-24.0625,-68.05548391923803,25.23373426196779,22.448979591836764,19.662254371721264,-0.617283950617289,1.0288065843621363,18.312757201646082
776,2011/10/12,4.93,19246290.0,4.94,5.07,4.9145,-0.49262993235139696,6.527423708411689,-24.036979969183367,-54.606730198488265,25.13902088370141,25.306122448979597,22.873747924366196,-4.056795131845828,3.3468559837728202,9.127789046653149
777,2011/10/13,4.97,17296650.0,4.94,4.98,4.85,-0.47159626839122115,6.340873416145925,-19.186991869918707,-52.1250791390418,24.959099387745923,26.93877551020409,24.897959183673066,-8.651911468812871,11.468812877263588,13.883299798792764
778,2011/10/14,4.92,12780500.0,5.04,5.07,4.85,-0.45373118958035796,5.914742912203593,-7.344632768361577,-46.340904526533585,24.77140595894017,24.89795918367348,25.714285714285307,-4.065040650406507,20.73170731707318,20.934959349593502
779,2011/10/17,4.67,16610040.0,4.9,4.9,4.65,-0.45450662709799694,5.515563518638118,-8.070866141732285,-57.882041228014515,24.59935379093267,15.929203539823018,22.58864607789978,8.351177730192713,24.839400428265527,23.982869379014993
780,2011/10/18,4.83,21307740.0,4.68,4.84,4.57,-0.4371710681491612,6.159173928928695,6.622516556291387,-52.587054421250414,24.463628313363944,38.805970149253746,26.544377624249666,1.656314699792962,9.73084886128364,19.254658385093162
781,2011/10/19,4.73,18301330.0,4.9,4.92,4.69,-0.426584279022304,5.744505368074968,0.21186440677967533,-44.717517436002126,24.364674130110892,42.4242424242425,32.38647203777267,7.716701902748399,15.433403805496818,20.084566596194485
782,2011/10/20,4.54,25206770.0,4.72,4.76,4.45,-0.42858512196824616,5.356161053156853,-6.004140786749483,-58.840040386553355,24.391181247957604,30.26315789473687,37.16445682274395,22.026431718061673,26.2114537444934,19.823788546255514
783,2011/10/21,4.72,13915380.0,4.65,4.73,4.61,-0.41090959866984367,6.139210109937167,-2.6804123711340186,-42.884832820131706,24.325197136600394,53.9473684210526,42.21158958001024,25.847457627118658,20.127118644067803,15.889830508474578
784,2011/10/24,5.06,24367660.0,4.74,5.06,4.74,-0.3652560166136043,7.835915259149999,6.976744186046494,-6.3613276276750215,24.32894725102577,98.38709677419344,60.865874363327215,15.217391304347835,12.252964426877472,7.1146245059288615
785,2011/10/25,4.91,14840620.0,5.0,5.05,4.86,-0.3372908908816381,7.317161783261525,1.446280991735543,3.259835322193582,24.310723311549335,74.19354838709675,75.50933786078052,7.942973523421582,17.107942973523418,7.942973523421582
786,2011/10/26,5.095,19644130.0,4.99,5.13,4.87,-0.29677928649469365,7.963335642082669,4.835390946502045,61.66326699602098,24.26399197005063,94.85294117647057,89.14452877925316,7.163886162904813,5.5937193326791,-0.8832188420019614
787,2011/10/27,5.54,41120950.0,5.27,5.6,5.17,-0.22615874987820206,10.082371721502156,12.373225152129825,192.76704434321252,24.293955617321462,94.7826086956522,87.94303275307276,3.4296028880866496,2.1660649819494604,-9.927797833935015
788,2011/10/28,5.94,47546080.0,5.83,6.05,5.71,-0.13634313002336373,11.714683948983136,19.517102615694178,221.9328382931831,24.37535030028628,93.12500000000003,94.25351662404051,-4.545454545454553,0.16835016835016475,-10.774410774410784
789,2011/10/31,5.83,19378330.0,5.84,5.96,5.8,-0.07319592780064532,10.969711310494361,18.495934959349597,165.26778414862358,24.356106718448487,86.25000000000001,91.38586956521699,-2.5728987993139,-0.6861063464837056,-8.747855917667234
790,2011/11/01,5.3,45372870.0,5.56,5.59,5.29,-0.06516668471674247,10.266604565618934,13.49036402569593,71.76556407397594,24.35907265922012,53.124999999999986,77.4999999999996,8.490566037735853,8.679245283018867,7.358490566037747
791,2011/11/02,5.46,21239740.0,5.45,5.49,5.34,-0.04536979415565945,10.528037722049433,13.043478260869563,70.87195172972876,24.233343882158472,63.125,67.49999999999959,-1.4652014652014667,4.029304029304025,4.3956043956043995
792,2011/11/03,5.73,26416540.0,5.53,5.77,5.3,-0.0078039135832375095,11.39067432400249,21.14164904862579,90.20023849235434,24.16947426446545,80.00000000000004,65.41666666666627,-1.2216404886562002,-5.06108202443281,-1.3961605584642245
793,2011/11/04,5.67,17551140.0,5.61,5.77,5.49,0.016930652832002124,10.66381763927339,24.88986784140969,87.1953107873631,24.183161440335514,76.25,73.1249999999996,4.938271604938276,-3.5273368606701974,1.5873015873015848
794,2011/11/07,5.68,14547580.0,5.67,5.77,5.53,0.03691436551822047,10.03596792470853,20.33898305084746,80.77320199898342,24.089340031268325,76.875,77.70833333333293,1.9366197183098648,-4.577464788732391,-0.3521126760563305
795,2011/11/08,5.75,13998960.0,5.72,5.78,5.64,0.057734489525735455,9.795089520392082,13.636363636363647,81.5766249534056,23.92010509436695,81.25000000000001,78.12499999999959,0.17391304347825717,-7.826086956521743,-0.5217391304347869
796,2011/11/09,5.38,18515900.0,5.55,5.635,5.38,0.043872940078338196,9.159524815745854,9.572301425661909,37.57523617469844,23.790538089721714,53.47222222222221,70.53240740740699,5.576208178438659,-6.13382899628253,1.672862453531596
797,2011/11/10,5.66,23914880.0,5.49,5.72,5.34,0.05484895757592234,10.20346141732746,11.089303238469096,49.28908762244665,23.84223396395931,70.2290076335878,68.31707661860293,-3.886925795052999,-11.837455830388691,-2.1201413427561855
